seller_sk	total_orders	delivered_orders	delayed_orders	avg_delivery_days	avg_estimated_gap_days	delay_rate	avg_freight_value	avg_review_score	delivery_segment	dwh_create_date
1540	1	1	0	7	-11	0.00	14.91	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2373	1	1	0	22	-32	0.00	15.11	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1045	39	41	3	13.66	-12.49	7.32	20.66	4.49	GOOD_DELIVERY	2026-05-15 09:48:36.073
876	5	5	0	5.8	-11	0.00	16.52	3.8	GOOD_DELIVERY	2026-05-15 09:48:36.073
381	1	1	0	8	-8	0.00	13.78	5	FAST_RELIABLE	2026-05-15 09:48:36.073
212	4	6	0	6.5	-13.5	0.00	25.14	3.83	GOOD_DELIVERY	2026-05-15 09:48:36.073
1563	97	101	7	12.7	-10.21	6.80	16.05	4.03	GOOD_DELIVERY	2026-05-15 09:48:36.073
235	7	13	2	12.85	-8.62	15.38	13.53	4.77	REGULAR	2026-05-15 09:48:36.073
358	21	26	6	19.46	-7.69	22.22	16.16	3.07	REGULAR	2026-05-15 09:48:36.073
1686	7	6	0	10.83	-14.5	0.00	17.23	2.57	GOOD_DELIVERY	2026-05-15 09:48:36.073
2227	3	3	0	21	-11.67	0.00	27.39	5	FAST_RELIABLE	2026-05-15 09:48:36.073
899	2	2	0	10.5	-47.5	0.00	16.33	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1022	2	2	0	5	-16	0.00	15.55	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
421	41	46	7	11.54	-10.39	15.22	18.14	4.3	REGULAR	2026-05-15 09:48:36.073
1749	64	62	6	12.19	-10.81	9.38	17.99	3.94	GOOD_DELIVERY	2026-05-15 09:48:36.073
1500	2	0	0	NULL	NULL	0.00	15.18	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1168	4	4	0	10.25	-14.25	0.00	25.09	4	FAST_RELIABLE	2026-05-15 09:48:36.073
172	3	3	0	6.67	-12.33	0.00	17.10	4.67	FAST_RELIABLE	2026-05-15 09:48:36.073
753	3	3	0	8	-20.67	0.00	17.11	5	FAST_RELIABLE	2026-05-15 09:48:36.073
3066	7	7	1	10.57	-10.43	14.29	37.51	4.43	REGULAR	2026-05-15 09:48:36.073
859	7	7	0	10.14	-21.43	0.00	21.15	4.43	FAST_RELIABLE	2026-05-15 09:48:36.073
1855	5	5	0	16.8	-19.4	0.00	19.87	4.8	FAST_RELIABLE	2026-05-15 09:48:36.073
2187	1	1	0	13	-6	0.00	18.70	5	FAST_RELIABLE	2026-05-15 09:48:36.073
66	1	1	0	11	-18	0.00	16.49	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1062	2	2	0	6	-10.5	0.00	11.84	5	FAST_RELIABLE	2026-05-15 09:48:36.073
527	1	1	0	8	-8	0.00	19.74	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1546	4	4	0	4.5	-6.5	0.00	10.74	4.25	FAST_RELIABLE	2026-05-15 09:48:36.073
1214	6	6	4	25.33	6.5	66.67	14.65	1.5	DELIVERY_RISK	2026-05-15 09:48:36.073
2379	8	5	0	11.8	-15.6	0.00	63.53	2.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
2047	24	25	1	12.96	-11.72	4.00	22.43	3.88	GOOD_DELIVERY	2026-05-15 09:48:36.073
2628	54	58	3	7.41	-9.95	5.08	12.41	4.56	GOOD_DELIVERY	2026-05-15 09:48:36.073
2542	11	11	0	10.73	-17.82	0.00	17.65	4.18	FAST_RELIABLE	2026-05-15 09:48:36.073
375	2	6	0	7.83	-6.83	0.00	9.89	1.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
2296	1	1	0	5	-22	0.00	22.36	5	FAST_RELIABLE	2026-05-15 09:48:36.073
