date_sk	full_date	year_num	quarter_num	month_num	month_name	day_num	day_name	week_num	is_weekend	dwh_create_date
20160405	2016-04-05	2016	2	4	04	5	화요일	15	0	2026-05-13 10:16:29.780
20160406	2016-04-06	2016	2	4	04	6	수요일	15	0	2026-05-13 10:16:29.780
20160407	2016-04-07	2016	2	4	04	7	목요일	15	0	2026-05-13 10:16:29.780
20160408	2016-04-08	2016	2	4	04	8	금요일	15	0	2026-05-13 10:16:29.780
20160409	2016-04-09	2016	2	4	04	9	토요일	15	0	2026-05-13 10:16:29.780
20160410	2016-04-10	2016	2	4	04	10	일요일	16	0	2026-05-13 10:16:29.780
20160411	2016-04-11	2016	2	4	04	11	월요일	16	0	2026-05-13 10:16:29.780
20160412	2016-04-12	2016	2	4	04	12	화요일	16	0	2026-05-13 10:16:29.780
20160413	2016-04-13	2016	2	4	04	13	수요일	16	0	2026-05-13 10:16:29.780
20160414	2016-04-14	2016	2	4	04	14	목요일	16	0	2026-05-13 10:16:29.780
20160415	2016-04-15	2016	2	4	04	15	금요일	16	0	2026-05-13 10:16:29.780
20160416	2016-04-16	2016	2	4	04	16	토요일	16	0	2026-05-13 10:16:29.780
20160417	2016-04-17	2016	2	4	04	17	일요일	17	0	2026-05-13 10:16:29.780
20160418	2016-04-18	2016	2	4	04	18	월요일	17	0	2026-05-13 10:16:29.780
20160419	2016-04-19	2016	2	4	04	19	화요일	17	0	2026-05-13 10:16:29.780
20160420	2016-04-20	2016	2	4	04	20	수요일	17	0	2026-05-13 10:16:29.780
20160421	2016-04-21	2016	2	4	04	21	목요일	17	0	2026-05-13 10:16:29.780
20160422	2016-04-22	2016	2	4	04	22	금요일	17	0	2026-05-13 10:16:29.780
20160423	2016-04-23	2016	2	4	04	23	토요일	17	0	2026-05-13 10:16:29.780
20160424	2016-04-24	2016	2	4	04	24	일요일	18	0	2026-05-13 10:16:29.780
20160425	2016-04-25	2016	2	4	04	25	월요일	18	0	2026-05-13 10:16:29.780
20160426	2016-04-26	2016	2	4	04	26	화요일	18	0	2026-05-13 10:16:29.780
20160427	2016-04-27	2016	2	4	04	27	수요일	18	0	2026-05-13 10:16:29.780
20160428	2016-04-28	2016	2	4	04	28	목요일	18	0	2026-05-13 10:16:29.780
20160429	2016-04-29	2016	2	4	04	29	금요일	18	0	2026-05-13 10:16:29.780
20160430	2016-04-30	2016	2	4	04	30	토요일	18	0	2026-05-13 10:16:29.780
20160501	2016-05-01	2016	2	5	05	1	일요일	19	0	2026-05-13 10:16:29.780
20160502	2016-05-02	2016	2	5	05	2	월요일	19	0	2026-05-13 10:16:29.780
20160503	2016-05-03	2016	2	5	05	3	화요일	19	0	2026-05-13 10:16:29.780
20160504	2016-05-04	2016	2	5	05	4	수요일	19	0	2026-05-13 10:16:29.780
20160505	2016-05-05	2016	2	5	05	5	목요일	19	0	2026-05-13 10:16:29.780
20160506	2016-05-06	2016	2	5	05	6	금요일	19	0	2026-05-13 10:16:29.780
20160507	2016-05-07	2016	2	5	05	7	토요일	19	0	2026-05-13 10:16:29.780
20160508	2016-05-08	2016	2	5	05	8	일요일	20	0	2026-05-13 10:16:29.780
20160509	2016-05-09	2016	2	5	05	9	월요일	20	0	2026-05-13 10:16:29.780
20160510	2016-05-10	2016	2	5	05	10	화요일	20	0	2026-05-13 10:16:29.780
20160511	2016-05-11	2016	2	5	05	11	수요일	20	0	2026-05-13 10:16:29.780
20160512	2016-05-12	2016	2	5	05	12	목요일	20	0	2026-05-13 10:16:29.780
20160513	2016-05-13	2016	2	5	05	13	금요일	20	0	2026-05-13 10:16:29.780
20160514	2016-05-14	2016	2	5	05	14	토요일	20	0	2026-05-13 10:16:29.780
20160515	2016-05-15	2016	2	5	05	15	일요일	21	0	2026-05-13 10:16:29.780
20160516	2016-05-16	2016	2	5	05	16	월요일	21	0	2026-05-13 10:16:29.780
20160517	2016-05-17	2016	2	5	05	17	화요일	21	0	2026-05-13 10:16:29.780
20160518	2016-05-18	2016	2	5	05	18	수요일	21	0	2026-05-13 10:16:29.780
20160519	2016-05-19	2016	2	5	05	19	목요일	21	0	2026-05-13 10:16:29.780
20160520	2016-05-20	2016	2	5	05	20	금요일	21	0	2026-05-13 10:16:29.780
20160521	2016-05-21	2016	2	5	05	21	토요일	21	0	2026-05-13 10:16:29.780
20160522	2016-05-22	2016	2	5	05	22	일요일	22	0	2026-05-13 10:16:29.780
20160523	2016-05-23	2016	2	5	05	23	월요일	22	0	2026-05-13 10:16:29.780
